3
broke|0:52|0.6180|3.0000
gupta|2:108|0.6155|3.0000
celebr|0:59|0.6180|3.0000
month|0:69|0.6180|3.0000
gang|2:92|0.6155|3.0000
ga|2:6|0.6155|3.0000
guwahati|1:4,21,31,54,65|2.1094|3.0000
follow|0:70;2:80,197|0.6180,1.2311|1.5000
oldest|2:82|0.6155|3.0000
1948|0:84,118|1.2361|3.0000
middl|2:112|0.6155|3.0000
1940|0:10|0.6180|3.0000
1947|0:23;2:182|0.6180,0.6155|1.5000
program|1:91|0.4219|3.0000
becam|2:204|0.6155|3.0000
under|2:106,139,152,156,173,243|3.6932|3.0000
hinduism|2:85|0.6155|3.0000
southwest|2:33|0.6155|3.0000
1991|2:202|0.6155|3.0000
far|2:116|0.6155|3.0000
assam|1:12,35,39,49|1.6875|3.0000
mechan|2:277|0.6155|3.0000
govern|1:8,27,42;2:242|1.2656,0.6155|1.5000
affect|0:64|0.6180|3.0000
tri|0:135|0.6180|3.0000
judaism|2:121|0.6155|3.0000
industrialis|2:211|0.6155|3.0000
sign|1:38|0.4219|3.0000
second|2:16,228|1.2311|3.0000
pressur|0:90|0.6180|3.0000
maratha|2:153|0.6155|3.0000
maritim|2:62|0.6155|3.0000
conspir|0:129,132|1.2361|3.0000
asia|2:11,118|1.2311|3.0000
accomplic|0:141|0.6180|3.0000
indian|0:28,101;1:0,15;2:28,50,66,184|1.2361,0.8438,2.4621|1.0000
public|1:5;2:221|0.4219,0.6155|1.5000
movement|2:167|0.6155|3.0000
christian|2:123|0.6155|3.0000
carv|0:17|0.6180|3.0000
gener|1:45|0.4219|3.0000
muslim|0:11,15,38,45|2.4721|3.0000
bachelor|1:71|0.4219|3.0000
china|2:42|0.6155|3.0000
along|0:126|0.6180|3.0000
militari|2:235|0.6155|3.0000
30|0:116|0.6180|3.0000
technolog|1:2,17,72,90|1.6875|3.0000
punjab|0:55|0.6180|3.0000
myanmar|2:46|0.6155|3.0000
maldiv|2:56|0.6155|3.0000
apt|0:134|0.6180|3.0000
